base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
NEOENERGIA385,LEM01,LEM01_AL005,perda modelada absurda: 441.9%,441.926,7.318,-434.608,21.9584,20.3514,1788,6038.5,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,TAT02,TAT02_AL020,perda modelada absurda: 416.4%,416.425,7.345,-409.08,48.6368,45.0644,7005,5669.6,True,False,False,,,13.8,1554,450.93,8,True,0,OK,0.347,0.577,10926,13.6
NEOENERGIA385,ARR01,ARR01_AL006,perda modelada absurda: 407.2%,407.189,8.892,-398.297,30.0267,27.3567,7144,4579.3,True,False,False,,,13.8,1372,404.57,10,True,0,OK,0.647,0.907,10039,9.0
NEOENERGIA385,AGI01,AGI01_AL008,perda modelada absurda: 324.2%,324.219,10.123,-314.096,27.1046,24.3608,7587,3202.9,True,False,False,,,13.8,1476,687.23,6,True,0,OK,0.061,0.492,10850,10.7
NEOENERGIA385,ARU01,ARU01_AL010,denominador minusculo: 0.017 GWh injetados,311.016,52.969,-258.047,0.0173,0.0081,5,587.2,True,False,False,,,13.8,776,194.4,10,True,0,OK,0.527,0.893,7385,11.9
NEOENERGIA385,SRP01,SRP01_AL006,perda modelada absurda: 301.4%,301.378,46.848,-254.53,20.3898,10.8376,1860,643.3,True,False,False,,,13.8,941,447.1,6,True,0,OK,0.347,0.843,9007,14.8
NEOENERGIA385,ANR01,ANR01_AL018,perda modelada absurda: 148.7%,148.65,88.103,-60.547,62.0929,7.3872,1998,168.7,True,False,False,,,34.5,2874,1378.87,10,True,0,OK,0.02,0.653,16907,7.2
NEOENERGIA385,MOG02,MOG02_AL004,modelo quebrado na SE: NAO_CONVERGE[C-API:500],136.566,9.02,-127.546,23.6656,21.5309,6286,1514.0,True,False,False,,,13.8,1174,280.19,6,False,0,NAO_CONVERGE[C-API:500],0.438,0.857,7092,28.1
NEOENERGIA385,PIP01,PIP01_AL007,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.34],101.611,3.03,-98.581,32.4867,31.5023,3274,3353.1,True,False,False,,,13.8,4861,2770.29,9,True,0,TENSAO_IMPLAUSIVEL[C-API:0.34],0.044,0.224,22880,10.4
NEOENERGIA385,RIC02,RIC02_AL041,modelo quebrado na SE: NAO_CONVERGE[C-API:500],21.716,21.63,-0.086,46.8731,36.7345,3643,100.4,True,False,False,,,34.5,2309,994.31,14,False,0,NAO_CONVERGE[C-API:500],0.759,0.965,4848,32.2
